Feature,N,Pearson_r,Pearson_p,Spearman_r,Spearman_p,Spearman_p_adj,Pearson_p_adj,Spearman_abs
price_ask_long2,2565,0.11730011536088335,2.546486946183991e-09,0.03170851332719653,0.10837834720439109,0.1870057755683611,8.003244688006828e-09,0.03170851332719653
price_mid_long2,2565,0.11530232485590389,4.733604568773982e-09,0.030636501816578322,0.12084925312381627,0.2045141206710737,1.3885240068403678e-08,0.030636501816578322
SPX_BB_Upper,2565,0.07914602047397175,6.001349026478398e-05,0.03040776440134311,0.12365013559946295,0.2053058855236366,0.00012574255103097595,0.03040776440134311
SPX_EMA50,2565,0.07780813705335449,7.989394778957237e-05,0.03014915405687871,0.12687752320547666,0.20676337114966564,0.00016350389315075278,0.03014915405687871
price_bid_long2,2565,0.11315069060739903,9.122846980181854e-09,0.02934510332414895,0.13733133921609997,0.21973014274575997,2.5897114008258168e-08,0.02934510332414895
price_bid_short1,2565,0.11854240053880563,1.72279677410559e-09,0.028532987885255177,0.14855156797038793,0.23310893843556793,6.591570266143127e-09,0.028532987885255177
price_mid_short1,2565,0.1176151466585561,2.3071237635928143e-09,0.028139799173293602,0.1542292201058311,0.23310893843556793,7.51951448874695e-09,0.028139799173293602
pnl8000_total,2565,0.045614751725093564,0.020873024978595396,-0.028029936316343446,0.15584473121399642,0.23310893843556793,0.027830699971460527,0.028029936316343446
UEL_inf_USD,2565,0.04564990079613103,0.020774629012381272,-0.02799987891137467,0.15628894736021032,0.23310893843556793,0.027830699971460527,0.02799987891137467
SPX_SMA50_200_Diff,2565,-0.053615186657370056,0.006607281404991825,-0.027570507021885515,0.1627398228136378,0.2386850734600021,0.010200715151566326,0.027570507021885515
price_ask_short1,2565,0.11661428965166556,3.154149233510871e-09,0.027145774374603533,0.16931649129900092,0.24425985630019806,9.5712114672054e-09,0.027145774374603533
theta_k3,2565,-0.055236754768857185,0.0051374909476575616,-0.025345319348160072,0.19941671228260863,0.28304307549789615,0.008073200060604739,0.025345319348160072
iv_k2,2565,0.04057071201195863,0.039919427463883966,-0.01725906693296827,0.38226053901730006,0.5339512291035302,0.046838794890957186,0.01725906693296827
iv_k3,2565,0.032662764168834894,0.0981543978143229,-0.016411658172486993,0.40606807083642726,0.5583435974000874,0.1066368766377829,0.016411658172486993
SPX_BB_Middle,2565,0.06117070324570348,0.0019389106767647875,0.013715853650090828,0.4874659781194869,0.6447268302642188,0.0032812334529865633,0.013715853650090828
SPX_SMA20,2565,0.06117070324570348,0.0019389106767647875,0.013715853650090828,0.4874659781194869,0.6447268302642188,0.0032812334529865633,0.013715853650090828
SPX_EMA26,2565,0.06409957000324046,0.0011616454239311528,0.01360876749066198,0.4908715639511666,0.6447268302642188,0.002044495946118829,0.01360876749066198
