variable,train_corr,test_corr,abs_train,abs_test,diff,pval
SPX_ZScore20,-0.08389896546568046,-0.11536979921450459,0.08389896546568046,0.11536979921450459,0.03147083374882413,0.0003745569204970177
SPX_BB_Pct,-0.08389896546568044,-0.11536979921450453,0.08389896546568044,0.11536979921450453,0.03147083374882409,0.0003745569204970177
SPX_SMA200,0.08167570161303137,0.0676149322941647,0.08167570161303137,0.0676149322941647,0.01406076931886667,0.0005326655413713083
SPX_Williams_R,-0.08021938943159912,-0.09997906486613195,0.08021938943159912,0.09997906486613195,0.01975967543453283,0.0006717496455073082
SPX_Stoch_K,-0.0802193894315991,-0.09997906486613195,0.0802193894315991,0.09997906486613195,0.019759675434532845,0.0006717496455073082
SPX_EMA200,0.07635986449974566,0.06433183179907843,0.07635986449974566,0.06433183179907843,0.012028032700667227,0.0012052017540418035
SPX_SMA100,0.07565722904514073,0.06709781702268881,0.07565722904514073,0.06709781702268881,0.008559412022451918,0.001337691389134994
SPX_Death_Cross,0.07288774488139413,0.03956356300910674,0.07288774488139413,0.03956356300910674,0.03332418187228739,0.0020013854772326974
UEL_inf_USD,0.07020522499627956,-0.019275471601259916,0.07020522499627956,0.019275471601259916,0.08948069659753947,0.002920194541950418
pnl8000_total,0.07017631943210967,-0.019320091931526697,0.07017631943210967,0.019320091931526697,0.08949641136363637,0.0029319125038576653
SPX_SMA50_200_Diff,-0.06962394068826783,-0.011902798664218686,0.06962394068826783,0.011902798664218686,0.05772114202404914,0.0031642385024566585
Asym,0.06888426855629118,-0.02995002744404631,0.06888426855629118,0.02995002744404631,0.0988342960003375,0.0035015961766006144
BQR_1000,0.06709085924313712,0.06592525902360805,0.06709085924313712,0.06592525902360805,0.0011656002195290782,0.004459409577027005
BQI_ABS,0.06709083113406838,0.06592526641816307,0.06709083113406838,0.06592526641816307,0.001165564715905315,0.00445942628819366
